from_matched_field	to_matched_field	n_male	n_female
chemistry	astronomy	59	48
chemistry	biochemistry	36	25
chemistry	chemistry	0	0
chemistry	classics	7	25
chemistry	communications	26	13
chemistry	comparative literature	22	0
chemistry	computer science	29	22
chemistry	earth sciences	18	13
chemistry	economics	3	2
chemistry	education	17	33
chemistry	engineering	78	78
chemistry	english literature	13	24
chemistry	evolutionary biology	3	0
chemistry	history	7	5
chemistry	linguistics	33	31
chemistry	mathematics	29	37
chemistry	middle eastern studies	194	228
chemistry	molecular biology	48	19
chemistry	music	11	1
chemistry	neuroscience	5	7
chemistry	philosophy	25	7
chemistry	physics	93	13
chemistry	political science	6	1
chemistry	psychology	4	14
chemistry	sociology	81	419
chemistry	spanish literature	11	7
chemistry	statistics	16	3
classics	anthropology	13	14
classics	archaeology	18	24
classics	art history	5	0
classics	astronomy	91	88
classics	biochemistry	2	4
classics	chemistry	3	9
classics	classics	66	54
classics	communications	8	10
classics	comparative literature	57	229
classics	computer science	16	76
classics	earth sciences	47	144
classics	economics	3	4
classics	education	1	0
classics	engineering	3	13
classics	english literature	4	4
classics	evolutionary biology	76	77
classics	history	29	43
classics	linguistics	67	25
classics	mathematics	14	6
classics	middle eastern studies	89	154
classics	molecular biology	29	50
classics	music	1	2
classics	neuroscience	7	5
classics	philosophy	0	7
classics	physics	2	1
classics	political science	1	0
classics	psychology	51	110
classics	sociology	46	168
classics	spanish literature	8	4
classics	statistics	3	1
communications	anthropology	0	3
communications	archaeology	131	74
communications	art history	2	4
communications	astronomy	75	54
communications	biochemistry	3	8
communications	chemistry	14	20
communications	classics	0	1
communications	communications	0	4
communications	comparative literature	29	188
communications	computer science	0	1
communications	earth sciences	18	50
communications	economics	15	223
communications	education	2	6
communications	engineering	1	17
communications	english literature	4	27
communications	evolutionary biology	38	20
communications	history	0	0
communications	linguistics	0	3
communications	mathematics	0	1
communications	middle eastern studies	92	306
communications	molecular biology	53	177
communications	music	2	42
communications	neuroscience	6	5
communications	philosophy	12	39
communications	physics	1	0
communications	political science	6	3
communications	psychology	1	6
communications	sociology	38	103
communications	spanish literature	3	1
communications	statistics	3	21
comparative literature	anthropology	22	25
comparative literature	archaeology	118	186
comparative literature	art history	38	10
comparative literature	astronomy	184	184
comparative literature	biochemistry	8	2
comparative literature	chemistry	413	76
comparative literature	classics	277	198
comparative literature	communications	15	2
comparative literature	comparative literature	6	2
comparative literature	computer science	38	36
comparative literature	earth sciences	30	9
comparative literature	economics	140	100
comparative literature	education	30	66
comparative literature	engineering	34	57
comparative literature	english literature	46	9
comparative literature	evolutionary biology	178	143
comparative literature	history	40	22
comparative literature	linguistics	30	33
comparative literature	mathematics	41	102
comparative literature	middle eastern studies	110	19
comparative literature	molecular biology	97	49
comparative literature	music	58	6
comparative literature	neuroscience	184	12
comparative literature	philosophy	255	247
comparative literature	physics	33	19
comparative literature	political science	310	278
comparative literature	psychology	259	13
comparative literature	sociology	76	22
comparative literature	spanish literature	30	8
comparative literature	statistics	121	44
computer science	anthropology	22	2
computer science	archaeology	426	401
computer science	art history	152	75
computer science	astronomy	106	249
computer science	biochemistry	122	16
computer science	chemistry	104	65
computer science	classics	79	23
computer science	communications	10	1
computer science	comparative literature	57	57
computer science	computer science	393	173
computer science	earth sciences	6	0
computer science	economics	433	34
computer science	education	96	72
computer science	engineering	20	3
computer science	english literature	237	181
computer science	evolutionary biology	168	96
computer science	history	8	5
computer science	linguistics	30	2
computer science	mathematics	151	107
computer science	middle eastern studies	3	38
computer science	molecular biology	88	55
computer science	music	58	6
computer science	neuroscience	194	28
computer science	philosophy	145	140
computer science	physics	38	26
computer science	political science	30	6
computer science	psychology	252	22
computer science	sociology	176	28
computer science	spanish literature	2	2
computer science	statistics	37	14
earth sciences	anthropology	142	25
earth sciences	archaeology	36	22
earth sciences	art history	9	7
earth sciences	astronomy	20	21
earth sciences	biochemistry	81	55
earth sciences	chemistry	29	33
earth sciences	classics	41	74
earth sciences	communications	13	168
earth sciences	comparative literature	60	54
earth sciences	computer science	30	13
earth sciences	earth sciences	80	12
earth sciences	economics	14	1
earth sciences	education	10	0
earth sciences	engineering	59	81
earth sciences	english literature	42	22
earth sciences	evolutionary biology	57	11
earth sciences	history	154	65
earth sciences	linguistics	56	35
earth sciences	mathematics	169	114
earth sciences	middle eastern studies	72	25
earth sciences	molecular biology	219	180
earth sciences	music	51	87
earth sciences	neuroscience	37	84
earth sciences	philosophy	65	111
earth sciences	physics	93	30
earth sciences	political science	161	68
earth sciences	psychology	88	42
earth sciences	sociology	8	35
earth sciences	spanish literature	21	13
earth sciences	statistics	86	110
economics	anthropology	93	13
economics	archaeology	391	65
economics	art history	6	1
economics	astronomy	72	11
economics	biochemistry	60	3
economics	chemistry	14	5
economics	classics	142	17
economics	communications	278	42
economics	comparative literature	358	66
economics	computer science	24	12
economics	earth sciences	62	48
economics	economics	157	71
economics	education	114	9
economics	engineering	11	12
economics	english literature	69	10
economics	evolutionary biology	335	177
economics	history	24	20
economics	linguistics	135	5
economics	mathematics	82	16
economics	middle eastern studies	96	13
economics	molecular biology	34	1
economics	music	166	9
economics	neuroscience	124	61
economics	philosophy	430	49
economics	physics	218	98
economics	political science	33	1
economics	psychology	170	89
economics	sociology	180	93
economics	spanish literature	104	94
economics	statistics	76	7
education	anthropology	1	0
education	archaeology	1	32
education	art history	2	1
education	astronomy	22	19
education	biochemistry	15	48
education	chemistry	10	3
education	classics	13	13
education	communications	22	15
education	comparative literature	30	11
education	computer science	66	87
education	earth sciences	33	33
education	economics	128	27
education	education	1	0
education	engineering	17	28
education	english literature	3	0
education	evolutionary biology	1	3
education	history	1	1
education	linguistics	0	1
education	mathematics	5	32
education	middle eastern studies	71	477
education	molecular biology	15	112
education	music	1	0
education	neuroscience	22	81
education	philosophy	24	6
education	physics	2	5
education	political science	6	11
education	psychology	0	0
education	sociology	6	38
education	spanish literature	2	0
education	statistics	17	9
engineering	anthropology	33	10
engineering	archaeology	25	16
engineering	art history	262	89
engineering	astronomy	9	6
engineering	biochemistry	319	25
engineering	chemistry	34	48
engineering	classics	307	89
engineering	communications	83	11
engineering	comparative literature	98	34
engineering	computer science	129	134
engineering	earth sciences	56	4
engineering	economics	29	6
engineering	education	105	143
engineering	engineering	54	37
engineering	english literature	49	31
engineering	evolutionary biology	28	28
engineering	history	17	3
engineering	linguistics	10	6
engineering	mathematics	16	17
engineering	middle eastern studies	35	10
engineering	molecular biology	104	101
engineering	music	87	75
engineering	neuroscience	83	49
engineering	philosophy	136	113
engineering	physics	112	8
engineering	political science	42	9
engineering	psychology	530	107
engineering	sociology	75	21
engineering	spanish literature	19	47
engineering	statistics	43	14
english literature	anthropology	13	7
english literature	archaeology	27	81
english literature	art history	6	25
english literature	astronomy	6	41
english literature	biochemistry	179	193
english literature	chemistry	0	2
english literature	classics	0	3
english literature	communications	3	35
english literature	comparative literature	127	358
english literature	computer science	120	230
english literature	earth sciences	81	139
english literature	economics	11	32
english literature	education	1	0
english literature	engineering	3	12
english literature	english literature	4	40
english literature	evolutionary biology	0	3
english literature	history	3	3
english literature	linguistics	1	8
english literature	mathematics	1	2
english literature	middle eastern studies	19	65
english literature	molecular biology	3	14
english literature	music	20	8
english literature	neuroscience	6	10
english literature	philosophy	0	2
english literature	physics	0	13
english literature	political science	1	2
english literature	psychology	0	2
english literature	sociology	45	72
english literature	spanish literature	14	15
english literature	statistics	1	7
evolutionary biology	anthropology	2	2
evolutionary biology	archaeology	4	66
evolutionary biology	art history	1	0
evolutionary biology	astronomy	136	80
evolutionary biology	biochemistry	16	2
evolutionary biology	chemistry	6	10
evolutionary biology	classics	20	10
evolutionary biology	communications	3	7
evolutionary biology	comparative literature	2	6
evolutionary biology	computer science	90	17
evolutionary biology	earth sciences	74	38
evolutionary biology	economics	23	32
evolutionary biology	education	9	18
evolutionary biology	engineering	28	23
evolutionary biology	english literature	2	8
evolutionary biology	evolutionary biology	0	0
evolutionary biology	history	2	0
evolutionary biology	linguistics	6	0
evolutionary biology	mathematics	8	0
evolutionary biology	middle eastern studies	70	44
evolutionary biology	molecular biology	18	2
evolutionary biology	music	0	0
evolutionary biology	neuroscience	2	0
evolutionary biology	philosophy	0	0
evolutionary biology	physics	2	2
evolutionary biology	political science	9	1
evolutionary biology	psychology	24	15
evolutionary biology	sociology	32	18
evolutionary biology	spanish literature	9	3
evolutionary biology	statistics	12	8
history	anthropology	1	1
history	archaeology	161	109
history	art history	7	5
history	astronomy	158	105
history	biochemistry	17	1
history	chemistry	6	4
history	classics	4	1
history	communications	2	0
history	comparative literature	64	143
history	computer science	453	18
history	earth sciences	30	14
history	economics	171	225
history	education	7	2
history	engineering	34	11
history	english literature	9	1
history	evolutionary biology	74	9
history	history	9	10
history	linguistics	12	0
history	mathematics	10	4
history	middle eastern studies	63	34
history	molecular biology	20	5
history	music	44	17
history	neuroscience	14	1
history	philosophy	77	21
history	physics	3	4
history	political science	5	1
history	psychology	1	4
history	sociology	14	7
history	spanish literature	4	17
history	statistics	21	14
linguistics	anthropology	12	35
linguistics	archaeology	84	108
linguistics	art history	20	13
linguistics	astronomy	141	354
linguistics	biochemistry	14	116
linguistics	chemistry	46	11
linguistics	classics	0	4
linguistics	communications	6	11
linguistics	comparative literature	6	57
linguistics	computer science	104	209
linguistics	earth sciences	14	25
linguistics	economics	91	38
linguistics	education	0	4
linguistics	engineering	74	44
linguistics	english literature	1	6
linguistics	evolutionary biology	1	4
linguistics	history	3	6
linguistics	linguistics	3	5
linguistics	mathematics	0	1
linguistics	middle eastern studies	11	17
linguistics	molecular biology	11	7
linguistics	music	12	99
linguistics	neuroscience	14	26
linguistics	philosophy	2	3
linguistics	physics	4	10
linguistics	political science	13	40
linguistics	psychology	0	0
linguistics	sociology	24	109
linguistics	spanish literature	3	6
linguistics	statistics	14	10
mathematics	anthropology	3	11
mathematics	archaeology	1	1
mathematics	art history	0	8
mathematics	astronomy	99	179
mathematics	biochemistry	33	4
mathematics	chemistry	9	7
mathematics	classics	5	3
mathematics	communications	2	1
mathematics	comparative literature	25	104
mathematics	computer science	0	3
mathematics	earth sciences	397	69
mathematics	economics	66	46
mathematics	education	4	27
mathematics	engineering	20	35
mathematics	english literature	6	45
mathematics	evolutionary biology	18	41
mathematics	history	2	6
mathematics	linguistics	21	7
mathematics	mathematics	94	89
mathematics	middle eastern studies	20	54
mathematics	molecular biology	13	86
mathematics	music	3	4
mathematics	neuroscience	5	10
mathematics	philosophy	3	11
mathematics	physics	15	7
mathematics	political science	8	4
mathematics	psychology	10	6
mathematics	sociology	91	508
mathematics	spanish literature	2	4
mathematics	statistics	1	0
middle eastern studies	anthropology	19	59
middle eastern studies	archaeology	84	57
middle eastern studies	art history	17	20
middle eastern studies	astronomy	243	113
middle eastern studies	biochemistry	171	91
middle eastern studies	chemistry	280	79
middle eastern studies	classics	32	149
middle eastern studies	communications	60	74
middle eastern studies	comparative literature	23	23
middle eastern studies	computer science	1	16
middle eastern studies	earth sciences	208	272
middle eastern studies	economics	84	75
middle eastern studies	education	5	24
middle eastern studies	engineering	18	32
middle eastern studies	english literature	156	37
middle eastern studies	evolutionary biology	3	5
middle eastern studies	history	0	1
middle eastern studies	linguistics	151	30
middle eastern studies	mathematics	128	179
middle eastern studies	middle eastern studies	41	52
middle eastern studies	molecular biology	56	70
middle eastern studies	music	79	84
middle eastern studies	neuroscience	7	10
middle eastern studies	philosophy	17	10
middle eastern studies	physics	138	29
middle eastern studies	political science	241	453
middle eastern studies	psychology	80	49
middle eastern studies	sociology	95	106
middle eastern studies	spanish literature	14	24
middle eastern studies	statistics	251	266
molecular biology	anthropology	3	2
molecular biology	archaeology	290	66
molecular biology	art history	60	541
molecular biology	astronomy	28	47
molecular biology	biochemistry	55	328
molecular biology	chemistry	64	194
molecular biology	classics	150	76
molecular biology	communications	42	237
molecular biology	comparative literature	151	156
molecular biology	computer science	34	171
molecular biology	earth sciences	4	23
molecular biology	economics	97	362
molecular biology	education	54	88
molecular biology	engineering	27	133
molecular biology	english literature	14	109
molecular biology	evolutionary biology	5	20
molecular biology	history	206	156
molecular biology	linguistics	10	42
molecular biology	mathematics	116	61
molecular biology	middle eastern studies	49	258
molecular biology	molecular biology	163	52
molecular biology	music	87	83
molecular biology	neuroscience	81	200
molecular biology	philosophy	143	262
molecular biology	physics	26	165
molecular biology	political science	34	198
molecular biology	psychology	18	68
molecular biology	sociology	184	87
molecular biology	spanish literature	117	139
molecular biology	statistics	20	64
music	anthropology	1	0
music	archaeology	18	66
music	art history	5	18
music	astronomy	6	70
music	biochemistry	4	110
music	chemistry	1	0
music	classics	1	9
music	communications	0	3
music	comparative literature	7	20
music	computer science	13	26
music	earth sciences	38	130
music	economics	102	33
music	education	2	2
music	engineering	1	10
music	english literature	1	1
music	evolutionary biology	11	13
music	history	0	0
music	linguistics	29	37
music	mathematics	4	6
music	middle eastern studies	78	4
music	molecular biology	59	274
music	music	0	0
music	neuroscience	4	9
music	philosophy	10	7
music	physics	5	13
music	political science	1	13
music	psychology	0	5
music	sociology	91	96
music	spanish literature	1	6
music	statistics	6	11
neuroscience	anthropology	0	1
neuroscience	archaeology	9	81
neuroscience	art history	2	28
neuroscience	astronomy	48	161
neuroscience	biochemistry	29	133
neuroscience	chemistry	10	35
neuroscience	classics	1	1
neuroscience	communications	2	5
neuroscience	comparative literature	6	216
neuroscience	computer science	1	31
neuroscience	earth sciences	1	18
neuroscience	economics	16	233
neuroscience	education	15	19
neuroscience	engineering	19	80
neuroscience	english literature	1	1
neuroscience	evolutionary biology	12	34
neuroscience	history	1	4
neuroscience	linguistics	0	0
neuroscience	mathematics	3	10
neuroscience	middle eastern studies	8	66
neuroscience	molecular biology	1	18
neuroscience	music	1	14
neuroscience	neuroscience	3	2
neuroscience	philosophy	13	15
neuroscience	physics	2	1
neuroscience	political science	1	0
neuroscience	psychology	12	42
neuroscience	sociology	5	7
neuroscience	spanish literature	0	0
neuroscience	statistics	22	68
philosophy	anthropology	2	0
philosophy	archaeology	71	63
philosophy	art history	18	0
philosophy	astronomy	123	12
philosophy	biochemistry	129	21
philosophy	chemistry	5	2
philosophy	classics	34	19
philosophy	communications	5	4
philosophy	comparative literature	57	22
philosophy	computer science	2	1
philosophy	earth sciences	64	101
philosophy	economics	186	41
philosophy	education	18	7
philosophy	engineering	70	54
philosophy	english literature	20	5
philosophy	evolutionary biology	53	3
philosophy	history	58	6
philosophy	linguistics	14	1
philosophy	mathematics	7	15
philosophy	middle eastern studies	50	22
philosophy	molecular biology	1	1
philosophy	music	35	26
philosophy	neuroscience	10	2
philosophy	philosophy	8	0
philosophy	physics	17	2
philosophy	political science	8	0
philosophy	psychology	7	1
philosophy	sociology	176	58
philosophy	spanish literature	51	79
philosophy	statistics	37	4
physics	anthropology	5	1
physics	archaeology	18	45
physics	art history	30	23
physics	astronomy	35	20
physics	biochemistry	40	80
physics	chemistry	10	10
physics	classics	2	1
physics	communications	3	1
physics	comparative literature	205	309
physics	computer science	53	56
physics	earth sciences	129	186
physics	economics	38	56
physics	education	0	0
physics	engineering	58	69
physics	english literature	6	0
physics	evolutionary biology	3	5
physics	history	1	0
physics	linguistics	4	1
physics	mathematics	1	9
physics	middle eastern studies	31	55
physics	molecular biology	27	85
physics	music	5	0
physics	neuroscience	11	3
physics	philosophy	10	31
physics	physics	34	4
physics	political science	26	40
physics	psychology	17	6
physics	sociology	179	219
physics	spanish literature	10	5
physics	statistics	7	5
political science	anthropology	2	4
political science	archaeology	143	160
political science	art history	9	33
political science	astronomy	4	4
political science	biochemistry	380	63
political science	chemistry	8	3
political science	classics	6	1
political science	communications	82	11
political science	comparative literature	7	12
political science	computer science	11	1
political science	earth sciences	36	17
political science	economics	230	24
political science	education	0	2
political science	engineering	193	47
political science	english literature	45	10
political science	evolutionary biology	2	0
political science	history	0	1
political science	linguistics	1	0
political science	mathematics	11	6
political science	middle eastern studies	3	12
political science	molecular biology	30	45
political science	music	26	29
political science	neuroscience	1	0
political science	philosophy	15	9
political science	physics	13	10
political science	political science	40	0
political science	psychology	21	5
political science	sociology	280	151
political science	spanish literature	11	36
political science	statistics	106	65
psychology	anthropology	0	27
psychology	archaeology	0	29
psychology	art history	0	6
psychology	astronomy	100	347
psychology	biochemistry	24	37
psychology	chemistry	1	4
psychology	classics	3	13
psychology	communications	1	9
psychology	comparative literature	0	2
psychology	computer science	3	58
psychology	earth sciences	4	25
psychology	economics	3	16
psychology	education	0	2
psychology	engineering	5	172
psychology	english literature	6	59
psychology	evolutionary biology	1	17
psychology	history	17	24
psychology	linguistics	0	0
psychology	mathematics	1	76
psychology	middle eastern studies	33	191
psychology	molecular biology	1	25
psychology	music	4	47
psychology	neuroscience	1	8
psychology	philosophy	1	17
psychology	physics	26	78
psychology	political science	1	23
psychology	psychology	14	56
psychology	sociology	0	2
psychology	spanish literature	0	8
psychology	statistics	1	6
sociology	anthropology	10	41
sociology	archaeology	46	129
sociology	art history	15	28
sociology	astronomy	7	41
sociology	biochemistry	11	35
sociology	chemistry	13	26
sociology	classics	95	219
sociology	communications	81	109
sociology	comparative literature	1	22
sociology	computer science	40	239
sociology	earth sciences	20	89
sociology	economics	29	33
sociology	education	0	42
sociology	engineering	11	229
sociology	english literature	84	59
sociology	evolutionary biology	20	151
sociology	history	4	75
sociology	linguistics	39	42
sociology	mathematics	31	72
sociology	middle eastern studies	23	18
sociology	molecular biology	7	39
sociology	music	35	35
sociology	neuroscience	6	76
sociology	philosophy	30	136
sociology	physics	16	35
sociology	political science	94	92
sociology	psychology	61	55
sociology	sociology	4	166
sociology	spanish literature	0	53
sociology	statistics	6	15
spanish literature	anthropology	1	2
spanish literature	archaeology	11	85
spanish literature	art history	0	0
spanish literature	astronomy	197	112
spanish literature	biochemistry	58	25
spanish literature	chemistry	1	0
spanish literature	classics	10	4
spanish literature	communications	25	12
spanish literature	comparative literature	117	78
spanish literature	computer science	108	52
spanish literature	earth sciences	8	110
spanish literature	economics	9	23
spanish literature	education	6	17
spanish literature	engineering	116	69
spanish literature	english literature	23	7
spanish literature	evolutionary biology	7	11
spanish literature	history	6	9
spanish literature	linguistics	1	1
spanish literature	mathematics	1	3
spanish literature	middle eastern studies	106	62
spanish literature	molecular biology	1	1
spanish literature	music	16	25
spanish literature	neuroscience	2	2
spanish literature	philosophy	1	2
spanish literature	physics	8	7
spanish literature	political science	6	2
spanish literature	psychology	2	2
spanish literature	sociology	29	46
spanish literature	spanish literature	0	3
spanish literature	statistics	2	3
statistics	anthropology	3	0
statistics	archaeology	125	97
statistics	art history	1	0
statistics	astronomy	48	132
statistics	biochemistry	179	159
statistics	chemistry	10	5
statistics	classics	9	4
statistics	communications	50	8
statistics	comparative literature	30	18
statistics	computer science	79	221
statistics	earth sciences	2	0
statistics	economics	49	72
statistics	education	1	0
statistics	engineering	37	31
statistics	english literature	3	2
statistics	evolutionary biology	7	4
statistics	history	2	23
statistics	linguistics	19	7
statistics	mathematics	0	0
statistics	middle eastern studies	88	121
statistics	molecular biology	11	10
statistics	music	4	7
statistics	neuroscience	2	2
statistics	philosophy	3	0
statistics	physics	5	1
statistics	political science	0	0
statistics	psychology	1	3
statistics	sociology	36	141
statistics	spanish literature	5	13
statistics	statistics	0	2
